question_id,question,option_0,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,answer_index,cot_content,category,dialect
7566,Six 6-sided dice are rolled. What is the probability that three of the dice show prime numbers and the rest show composite numbers?,\frac{5}{55},\frac{5}{54},\frac{125}{7776},\frac{3}{18},\frac{125}{2916},\frac{5}{36},\frac{5}{16},\frac{10}{54},\frac{1}{6},\frac{125}{3888},1,,math,en
7576,Is the cumulative distribution function of the standard gaussian distribution $F(x)=1/\sqrt{2 \pi} \int_{-\infty}^x e^{-t^2/2} dt$ is log-concave?  Return 1 for yes and 0 for no.,2.5,-1.0,2.0,1.5,-0.5,0.0,1.0,-2.0,0.5,3.0,6,,math,en
7598,"for the matrix $A=(\begin{array}{rrrrr} 1 & 2 & 3 & 4 & -3 \1 & 2 & 0 & -5 & 1 \2 & 4 & -3 & -19 & 6 \3 & 6 & -3 & -24 & 7\end{array})$, what is its row rank and column rank? return the two numbers as a list.","[1, 1]","[3, 4]","[4, 4]","[2, 4]","[2, 3]","[3, 3]","[4, 2]","[2, 2]","[4, 3]","[3, 2]",7,,math,en
7610,"7.3-5. In order to estimate the proportion, $p$, of a large class of college freshmen that had high school GPAs from 3.2 to 3.6 , inclusive, a sample of $n=50$ students was taken. It was found that $y=9$ students fell into this interval.
(a) Give a point estimate of $p$.
",$0.1000$,$0.1600$,$0.1200$,$0.2000$,$0.2200$,$0.1400$,$0.3000$,$0.2500$,$0.2800$,$0.1800$,9,,math,en
7613,"Let $A$ and $B$ be independent events with $P(A)=$ 0.7 and $P(B)=0.2$. Compute $P(A \cap B)$.
",0.28,0.9,0.7,0.1,0.56,0.04, 0.14,0.5,0.2,0.35,6,,math,en
7617,Find the characteristic of the ring Z_3 x 3Z.,24,12,30,21,15,36,3,9,6,0,9,,math,en
7647,"What is the quotient of 1,248 / 7?",168 remainder 2,178 remainder 2,169 remainder 3,178 remainder 0,177 remainder 8,178 remainder 3,177 remainder 7,178 remainder 4,177 remainder 9,178 remainder 1,1,,math,en
7662,What is the greatest common factor of 252 and 96?,24,48,30,12,6,36,15,21,5,18,3,,math,en
7671,"What is the determinant of matrix [[0, 1, 2], [7, 8, 3], [6, 5, 4]]?",0,24,-12,36,-48,72,-60,-24,-36,60,8,,math,en
7672,Use the Trapezoidal Rule with to approximate $\int_0^{\pi} sin^2(x)dx$. Return the approximated demical value.,1.414214,1.000000,0.785398,1.570796,1.234567,3.000000,3.141592,2.718282,2.345678,2.000000,3,,math,en
7675,"How many integers between 1 (included) and 100 (included) are divisible by either 2, 3, or 5?",82,60,80,68,74,72,85,50,78,66,4,,math,en
7681,In how many ways can a committee of 2 men and 3 women be selected from a group of 6 men and 8 women?,1500,1000,1200,1100,720,960,400,500,840,650,8,,math,en
7711," A typical roulette wheel used in a casino has 38 slots that are numbered $1,2,3, \ldots, 36,0,00$, respectively. The 0 and 00 slots are colored green. Half of the remaining slots are red and half are black. Also, half of the integers between 1 and 36 inclusive are odd, half are even, and 0 and 00 are defined to be neither odd nor even. A ball is rolled around the wheel and ends up in one of the slots; we assume that each slot has equal probability of $1 / 38$, and we are interested in the number of the slot into which the ball falls. Let $A=\{0,00\}$. Give the value of $P(A)$.",$\frac{1}{19}$,$\frac{1}{76}$,$\frac{20}{38}$,$\frac{2}{38}$,$\frac{3}{38}$,$\frac{4}{38}$,$\frac{36}{38}$,$\frac{1}{38}$,$\frac{1}{2}$,$\frac{18}{38}$,3,,math,en
7729,"A school board of a large school district is proposing a new dress code for students. Some students feel that this dress code unfairly targets female students. To see if there is a difference between boys and girls in their opposition to the new dress code, they conduct a poll of 60 randomly selected male and 70 randomly selected female high school students in the district. They find that 66 females oppose the dress code and 50 males oppose the dress code. Which of the following explains why a two-proportion z-test is not appropriate?",There is no alternative hypothesis proposed for this test.,The number of successes and the number of failures for the two groups are not all large enough.,The shapes of the population distributions are not known.,The z-test is not designed for proportions.,The sample sizes are too small.,The sample sizes are different.,The sample wasn't randomly selected.,The students who oppose the dress code don't represent the entire population.,The sample sizes are too large.,The proportions of male and female are not equal.,1,,math,en
7733,"The Department of Health plans to test the lead level in a specific park. Because a high lead level is harmful to children, the park will be closed if the lead level exceeds the allowed limit. The department randomly selects several locations in the park, gets soil samples from those locations, and tests the samples for their lead levels. Which of the following decisions would result from the type I error?",Keeping the park open when the lead levels are within the allowed limit,Closing the park based on a predicted future lead level increase,Keeping the park open when the lead levels are in excess of the allowed limit,Closing other parks when their lead levels are within the allowed limit,Closing the park when the lead levels are in excess of the allowed limit,Not testing the lead levels at all and closing the park,Keeping other parks open when their lead levels are in excess of the allowed limit,Disregarding the test results and keeping the park open regardless of the lead levels,Closing the park when the lead levels are within the allowed limit,Closing the park based on lead levels from a different park,8,,math,en
7734,"In a group of 10 scores, the largest score is increased by 40 points. What will happen to the mean?",It will remain the same.,It will increase by 30 points.,It will increase by 10 points.,It will decrease by 10 points.,It will remain unchanged if the other scores also increase by 40 points.,It will increase by 20 points.,It will decrease by 4 points.,It will decrease by 40 points.,It will increase by 40 points.,It will increase by 4 points.,9,,math,en
7752,Which ratio can form a proportion with 3 over 8?,24 over 64,15 over 48,18 over 56,18 over 40,,,,,,,0,,math,en
7762,A store has 8 fish tanks that each have 40 liters of water. Whatis the total number of liters of waterin all of the fish tanks?,400,380,280,300,360,340,5,420,320,48,8,,math,en
7783,"Six positive integers are written on the faces of a cube. Each vertex is labeled with the product of the three numbers on the faces adjacent to the vertex. If the sum of the numbers on the vertices is equal to $1001$, then what is the sum of the numbers written on the faces?",36,31,15,20,13,18,27,24,1001,45,1,,math,en
7794,Suppose that we roll two fair 6-sided dice. What is the probability that the two numbers rolled sum to 4?,\frac{3}{12},\frac{1}{6},\frac{2}{12},\frac{1}{9},\frac{1}{2},\frac{1}{18},\frac{1}{12},\frac{1}{3},\frac{1}{4},\frac{1}{8},6,,math,en
7827,"Let X_1, X_2,... be independent variables each taking values +1 or -1 with probabilities 1/2 and 1/2. It is know that $\sqrt{3/n^3}*\sum_{k=1}^n k*X_k$ converges in distribution normal distribution N(a,b) as n goes to infinity. Here a is the expectation and b is the variance. What are the values of a and b? Return the answers as a list. For example, if a=2, b=100, return [2,100].","[2, 0]","[0, 1]","[2, 1]","[1, 1]","[1, 0]","[0, 0]","[0, 1/2]","[1, 2]","[0, 2]","[0, 3]",1,,math,en
7828,"For the following functions, which are bounded entire functions? 1. f(x)=0; 2. f(x)= 1+i; 3. f(x)=sin(x); 4. f(x)=min{|cos(x)|,1}. Here i=\sqrt{-1} and $|\cdot|$ is the norm of a complex number. Return the numbers of the answers as a list.","[1, 2]","[2, 4]","[3, 4]","[1, 2, 3]","[1, 3, 4]","[1, 4]",[4],"[1, 3]",[3],"[2, 3]",0,,math,en
7829,"Find the smallest positive integer that leaves a remainder of 1 when divided by 2, a remainder of 2 when divided by 3, a remainder of 3 when divided by 4, a remainder of 4 when divided by 5, and a remainder of 5 when divided by 6.",59,91,101,121,65,143,50,72,61,119,0,,math,en
7833,"Use Stokes' Theorem to evaluate $\int_C \mathbf{F} \cdot d \mathbf{r}$, where $\mathbf{F}(x, y, z)=x y \mathbf{i}+y z \mathbf{j}+z x \mathbf{k}$, and $C$ is the triangle with vertices $(1,0,0),(0,1,0)$, and $(0,0,1)$, oriented counterclockwise as viewed from above.
", $-\frac{1}{2}$,$\frac{1}{2}$,$0$,$\frac{3}{4}$,$\frac{1}{4}$,$-1$,$\frac{1}{3}$,$\frac{2}{3}$,$-\frac{1}{4}$,$-\frac{1}{3}$,0,,math,en
7835,"7.3-9. Consider the following two groups of women: Group 1 consists of women who spend less than $\$ 500$ annually on clothes; Group 2 comprises women who spend over $\$ 1000$ annually on clothes. Let $p_1$ and $p_2$ equal the proportions of women in these two groups, respectively, who believe that clothes are too expensive. If 1009 out of a random sample of 1230 women from group 1 and 207 out of a random sample 340 from group 2 believe that clothes are too expensive,
(a) Give a point estimate of $p_1-p_2$.
", $0.2115$,$0.3256$,$0.1298$,$0.2732$,$0.3021$,$0.0997$,$0.2389$,$0.2654$,$0.1874$,$0.1543$,0,,math,en
7852,"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","17, 23","19, 25","19, 23","21, 23","17, 19","19, 21","15, 19","17, 21","15, 17","21, 25",7,,math,en
7853,"Umi created the number pattern that follows by adding the same amount each time to get the next number. 20, 40, 60, 80, ... What will be the eighth number in the pattern?",320,180,160,260,280,360,200,240,640,300,2,,math,en
7854,Cat food costs $.47/lb. How much does a 6-lb bag cost?,$3.82,$2.97 ,$6.47 ,$12.77 ,$2.82 ,$1.47,$7.47,$8.22,$4.67,$5.02,4,,math,en
7876,What is three fifth of 100?,50,20,3,90,80,60,100,30,70,5,5,,math,en
7880,For which integers n such that 3 <= n <= 11 is there only one group of order n (up to isomorphism)?,"For 3, 5, 7, and 11 only","For 8, 9, 10, and 11 only","For 4, 6, 8, and 10 only","For 6, 7, 8, and 9 only","For 3, 4, 5, and 6 only","For 3, 5, 7, 9, and 11 only","For 4, 5, 6, and 8 only",For all integers n such that 3 <= n <= 11,For no such integer n,"For 5, 6, 7, 8, and 9 only",0,,math,en
7914,"Coloring the edges of a complete graph with n vertices in 2 colors (red and blue), what is the smallest n that guarantees there is either a 4-clique in red or a 4-clique in blue?",12,15,14,16,22,8,10,20,19,18,9,,math,en
7918,Find acceleration in m/(min^2) at time t = 5 min of a helicopter whose height is s(t) = 300t - 4t^3 m.,100,240,180,150,60,-200,-60,-120,-180,-240,7,,math,en
7930,What is \lim_{x \to 1} ((x - 1) sin((\pi)/(x - 1))?,π,0,2π,1,undefined,e (the base of the natural logarithm),1/2,-π,1/π,-1,1,,math,en
7935,"Find the work done by a force $\mathbf{F}=8 \mathbf{i}-6 \mathbf{j}+9 \mathbf{k}$ that moves an object from the point $(0,10,8)$ to the point $(6,12,20)$ along a straight line. The distance is measured in meters and the force in newtons.", 144 $\mathrm{J}$,172 J,180 $\mathrm{J}$,168 J,132 J,160 $\mathrm{J}$,120 $\mathrm{J}$,156 J,200 J,210 J,0,,math,en
7961,Two whole numbers have a least common multiple of 60. Each number is less than or equal to 12. The greatest common factor of the two numbers is 2. What are the two numbers?,5 and 12,12 and 15,6 and 12,4 and 8,3 and 9,8 and 10,6 and 10,2 and 10,2 and 6,10 and 12,9,,math,en
7983,"A positive integer n is called “powerful” if, for every prime factor p of n, p^2 is also a factor of n. An example of a powerful number is",297,392,300,240,336,360,408,,,,1,,math,en
7992,"A virus is spreading throughout the population of a town, and the number of people who have the virus doubles every 3 days. If there are 1,000 people in the town, and 10 people have the virus on January 1st, what is the earliest date at which the entire town would be infected with the virus, given that there are 365 days in a year, and 31 days in the month of January?",February 10th,January 28th,January 10th,March 1st,January 15th,January 31st,March 10th,January 21st,February 21st,February 1st,7,,math,en
7994,How many of the 401 integers from $-200$ to $200$ are congruent to $5 \pmod{13}?$,32,30,46,31,60,62,15,61,29,45,3,,math,en
8001,"Given that a rectangle with length $3x$ inches and width $x + 5$ inches has the property that its area and perimeter have equal values, what is $x$?",\frac{3}{10},\frac{5}{2},\frac{10}{3},3,\frac{3}{2},1,\frac{1}{2},4,5,2,5,,math,en
8016,what is the value of $2/\pi*\prod_{k=1}^{\infty} \frac{(2*k)^2}{(2*k-1)(2*k+1)}$?,1.414,0.707,0.5,3.14,4.0,1.0,1.57,2.0,6.28,2.718,5,,math,en
8023,How many ways are there to arrange the letters in the word *BANANA* up to the symmetries of the word?,50,40,100,24,30,60,120,20,15,10,4,,math,en
8032,"The positive integers N and N^2 both end in the same sequence of four digits abcd when written in base 10, where digit a is nonzero. Find the three-digit number abc.",491,254,625,812,368,789,937,673,123,456,6,,math,en
8037,"Let $P_5(x)$ be the fifth-degree Taylor polynomial approximation for f(x)=sin(x), centered at x=0. What is the Lagrange error of the polynomial approximation to sin(1)?.",0.02098,0.00198,0.000198,0.01998,0.0198,0.19898,0.0000198,0.198,0.0000298,0.00298,2,,math,en
8055,"A shipment of resistors have an average resistance of 200 ohms with a standard deviation of 5 ohms, and the resistances are normally distributed. Suppose a randomly chosen resistor has a resistance under 194 ohms. What is the probability that its resistance is greater than 188 ohms?",0.93,0.07,0.20,0.30,0.35,0.12,0.99,0.65,0.50,0.80,0,,math,en
8056,"A talk show host recently reported that in response to his on-air question, 82% of the more than 2500 e-mail messages received through his publicized address supported the death penalty for anyone convicted of selling drugs to children. What does this show?",The survey is biased because it only includes listeners who have access to email.,The survey would have been more meaningful if he had used a control group.,The survey is accurate as it includes a large number of responses.,The survey would have been more meaningful if he had picked a random sample of the 2500 listeners who responded.,The survey is valid because it represents the opinion of the show's listeners.,The survey would have been more meaningful if he had included listeners who disagreed with his viewpoint.,The survey is meaningless because of voluntary response bias.,The survey shows that the majority of the host's listeners support the death penalty for drug dealers.,,,6,,math,en
8084,"A six-sided die (whose faces are numbered 1 through 6, as usual) is known to be counterfeit: The probability of rolling any even number is twice the probability of rolling any odd number. What is the probability that if this die is thrown twice, the first roll will be a 5 and the second roll will be a 6?",1/27,2/81,1/9,1/18,2/9,3/81,2/27,1/81,3/27,2/18,1,,math,en
8086,"Let I != A != -I, where I is the identity matrix and A is a real 2 x 2 matrix. If A = A^(-1), then the trace of A is",0.5,0,3,1,-2,2,-4,4,-3,-1,1,,math,en
8088,"Let T: R^2 -> R^2 be the linear transformation that maps the point (1, 2) to (2, 3) and the point (-1, 2) to (2, -3). Then T maps the point (2, 1) to","(2, 5)","(4, -3)","(0, 0)","(3, 2)","(5, -1)","(-2, 1)","(1, 6)","(-1, 4)","(-3, 2)","(-4, 3)",6,,math,en
8097,"The base of a solid is the region bounded by x^2 = 4y and the line y = 2, and each plane section perpendicular to the y-axis is a square. The volume of the solid is",8,32,36,28,48,44,16,40,24,20,1,,math,en
8107,"Let $p$, $q$, and $r$ be constants. One solution to the equation $(x-p)(x-q) = (r-p)(r-q)$ is $x=r$. Find the other solution in terms of $p$, $q$, and $r$.",r-p-q,p+q-r,p-q-r,pq-r,(p+q)/r,pqr,p*q/r,p*r/q,q*r/p,(p*q)/r,1,,math,en
8114,"In a group of 1000 people, at least how many people have to share the same birthday?",At least 50 people,At least 23 people,At least 100 people,20,At least 5 people,10,At least 367 people,2,At least 1 person,3,9,,math,en
8165,"For the regression line, which of the following statements about residuals is true?",The sum of the residuals is always one.,"If the correlation is 0, there will be a distinct pattern in the residual plot.","The larger the residuals, the better the linear model.",The residuals are always negative.,"If the correlation is 1, there will be a distinct pattern in the residual plot.",The residual plot will always be a straight line.,Influential scores have large residuals.,The mean of the residuals is always zero.,"If the linear model is good, the number of positive residuals will be the same as the number of negative residuals.",The residuals can never be zero.,7,,math,en
8170,Find 4 over 7 + 2 over 7.,2 over 7,6 over 7,14 over 28,6 over 14,1 over 2,8 over 14,7 over 14,10 over 7,8 over 49,4 over 14,1,,math,en
8182,Find the exact answer: 365 + 56,320,330,400,421,300,311,410,315,309,405,3,,math,en
8187,"Statement 1 | f : X → Y is continuous and X is compact. f must be uniformly continuous. Statement 2 | If f(x), g(x) : R → R are everywhere differentiable f(g(x)) must be everywhere differentiable.","Not applicable, Not applicable","True, False","Both statements are applicable, but cannot be definitively classified as true or false.","False, Not applicable","False, True","True, Not applicable","False, False","Not applicable, True","Not applicable, False","True, True",9,,math,en
8213,"Compute the area of the triangle whose altitudes have lengths 10, 12, and 15.",56\sqrt{15},60\sqrt{7},240\sqrt{7}/7,48\sqrt{15},120\sqrt{15},180\sqrt{7}/7,60\sqrt{7}/7,48\sqrt{7},100\sqrt{7},240\sqrt{7},2,,math,en
8217,A group of 9 people is split into 3 committees of 3 people. Committees are identical besides of members. In how many ways can this be done?,504,210,126,300,360,168,280,240,420,320,6,,math,en
8220,Find the entropy rate of the Markov chain associated with a random walk of a king on the 3 by 3 chessboard. Use base 2 logarithm and return the entropy rate in bits.,2.70,2.45,3.21,2.00,2.98,1.75,3.00,1.50,2.24,1.95,8,,math,en
8231,"Determine values of the real numbers a, b, and c to make the function $x^2 + ay^2 + y + i(bxy + cx)$ by an analytical function of the complex variable of $x+iy$? Return your answer as a list [a, b, c].","[2, 2, 2]","[-1, 2, -1]","[1, 1, 1]","[-1, -2, 1]","[0, 0, 0]","[1, -2, 1]","[-2, -1, 2]","[-2, 1, -1]","[2, 1, -2]","[2, -1, 2]",1,,math,en
8263,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",3,10,0,12,5,8,4,1,6,2,6,,math,en
8306,"The price of a share of stock for company XYZ at the beginning of the week was $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the price of the share of stock at the end of Friday?",$30.75,$12.25 ,$29.25 ,$26.75,$27.75,$31.25,$37.25 ,$25.75 ,$33.25,$28.75,2,,math,en
8308,Which expression is equivalent to 5(6x + 3y)?,11x + 3y,11x + 8y,30x + 3y,30x + 15y,,,,,,,3,,math,en
8312,Find 3 over 4 − 1 over 8.,5 over 8,9 over 16,7 over 16,21 over 32,1,1 over 2,3 over 8,11 over 16,13 over 32,2 over 8,0,,math,en
8319,"Given that $n > 1$, what is the smallest positive integer $n$ whose positive divisors have a product of $n^6$?",2048,30,60,120,36,72,20,12,10,64,2,,math,en
8336,"In triangle RST, X is located on the side RS, Y is located on the side RT, Z is located on the side ST, and XY and XZ are midsegments of △RST. If the length of side XY is 7, the length of side RT is 13, and the measure of angle YXZ is 124°, what is the length of side ST?",8,18,10,11,15,16,20,12,14,9,8,,math,en
8358,\lim_{x \to 1}(1/(x - 1) - c/(x^3 - 1)) exists. What is the value of c?,-1,5,4,2,0,1/2,3/2,-3,1,3,9,,math,en
8362,In how many ways can a set of 6 distinct letters be partitioned into 3 non-empty groups if each group must contain at least 2 letters?,20,120,25,15,90,10,45,75,60,30,3,,math,en
8389,Which of the following is the primary difference between an experiment and an observational study?,"In an experiment, the researcher has no control over variables; in an observational study, the researcher can manipulate variables.",Experiments are only conducted on human subjects; observational studies can be conducted on nonhuman subjects.,"Observational studies are conducted in a lab setting, while experiments can be conducted in any environment.",Experiments must be double-blind; observational studies do not need to be.,"In an experiment, the researcher observes without interfering; in an observational study, the researcher manipulates the environment.",Experiments can only be conducted once; observational studies can be repeated.,"Experiments must use randomized treatment and control groups; observational studies also use treatment and control groups, but they do not need to be randomized.",Experiments involve quantitative data; observational studies involve qualitative data.,"In an experiment, the researcher manipulates some variable to observe its effect on a response variable; in an observational study, he or she simply observes and records the observations.",Experiments require a hypothesis; observational studies do not require a hypothesis.,8,,math,en
8415,"There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged?",2/50,1/25,1/30,3/75,4/100,2/23,12/125,5/125,2/69,1/10,5,,math,en
8417,"Let x_1 = 1 and x_(n+1) = sqrt(3+2x_n) for all positive integers n. If it is assumed that {x_n} converges, then lim x_n =",sqrt(5),e,3,5,1,0,sqrt(2),2,sqrt(7),sqrt(3),2,,math,en
8451,Let g(x) be the inverse of f(x) = x + cos(x). What is g'(1)?,sqrt(2),-2,1,0,-1/2,-sqrt(2),3,2,1/2,-1,2,,math,en
8486,"Using Fermat's theorem, find the remainder of 3^47 when it is divided by 23.",10,2,8,4,5,7,3,9,1,6,3,,math,en
8518,Estimate 999 - 103. The difference is between which numbers?,500 and 700,200 and 400,700 and 900,"1,300 and 1,500","800 and 1,000","900 and 1,100",400 and 600,100 and 300,600 and 800,"1,000 and 1,200",2,,math,en
8560,The polynomial $x^3 - Ax + 15$ has three real roots. Two of these roots sum to 5. What is |A|?,19.0,17.0,25.0,23.0,18.0,20.0,22.0,24.0,21.0,26.0,6,,math,en
8590,"A kidney dialysis center periodically checks a sample of its equipment and performs a major recalibration if readings are sufficiently off target. Similarly, a fabric factory periodically checks the sizes of towels coming off an assembly line and halts production if measurements are sufficiently off target. In both situations, we have the null hypothesis that the equipment is performing satisfactorily. For each situation, which is the more serious concern, a Type I or Type II error?","Dialysis center: Type II error, towel manufacturer: Type II error","Dialysis center: Neither Type I nor Type II error, towel manufacturer: Type II error","Dialysis center: Type I error, towel manufacturer: Type II error","Dialysis center: Type II error, towel manufacturer: Type I error","Dialysis center: Both Type I and Type II errors, towel manufacturer: Type I error","Dialysis center: Type I error, towel manufacturer: Type I error","Dialysis center: Neither Type I nor Type II error, towel manufacturer: Type I error","Dialysis center: Both Type I and Type II errors, towel manufacturer: Type II error","Dialysis center: Type I error, towel manufacturer: Neither Type I nor Type II error","Dialysis center: Type II error, towel manufacturer: Neither Type I nor Type II error",3,,math,en
8600,Solve 18.5 dol over m gal = 3.60 dol over 7.5 gal. Round to the nearest hundredth if necessary.,45.67,28.14,36.99,32.54,8.86,38.44,40.88,33.21,42.25,50.32,5,,math,en
8609,"A scientist studied the migration patterns of two types of whales. The humpback whales traveled 2,240 miles in 28 days. The gray whales traveled 2,368 miles in 32 days. If the humpback whales had traveled at the same rate for 32 days, how many more miles would they have traveled than the gray whales?",64,408,128,320,280,96,192,160,256,224,6,,math,en
8640,In how many ways can 8 people be seated at 5 identical round tables? Each table must have at least 1 person seated.,1460,2560,1860,1760,1960,2260,2160,1560,1660,2060,4,,math,en
8647,"5.4-19. A doorman at a hotel is trying to get three taxicabs for three different couples. The arrival of empty cabs has an exponential distribution with mean 2 minutes. Assuming independence, what is the probability that the doorman will get all three couples taken care of within 6 minutes?
",$0.7234$, $0.5768$,$0.5012$,$0.6523$,$0.3894$,$0.6981$,$0.9142$,$0.8413$,$0.4321$,$0.3215$,1,,math,en
7333,Résoudre l'équation 14 = w + 23.,9,37,−23,14,−14,0,−9,−37,23,,6,,math,fr
7344,La plus courte distance de la courbe xy = 8 à l'origine est,4,2sqrt(2),sqrt(8),sqrt(4),1,4sqrt(2),8,2,16,6,0,,math,fr
